reviews.text,reviews.rating,sentiment,cleared_text
This a fantastic white wine for any occasion!,5.0,positive,fantastic white wine occasion
"Tart, not sweet...very refreshing and delicious!",5.0,positive,tart sweetvery refreshing delicious
I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!,5.0,positive,given wine delightful surprise find flavorful delicious taste new favorite
This is a phenomenal wine and my new favorite red.,5.0,positive,phenomenal wine new favorite red
4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.,5.0,positive,ml bottle price two way le packaging yes please nervous good true wouldnt like wine fantastic go bit way get live near state line isnt sold state due liquor law worth
I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.,5.0,positive,love beck na taste like regular ale smell like one taste great na drink friend love great head pour
This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end,3.0,positive,wine wonderful strong aroma bit bitter bite still goodit worth end
"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",2.0,negative,would give one star came clean bottle called sweet red instead get poetic grandiose blend standard practice get dash grape juice concentrate sweeten also loos star price rather look side target shelf pickup lambrusco le
Delicious and very affordable,5.0,positive,delicious affordable
"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.",5.0,positive,smooth red aroma cocoa coffee tobacco sweet black cherry bold soft highly recommend one
"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",5.0,positive,based positive review served fancy pant variety recent party guest loved since wine expert provide detail variety fancy pant website like sunshine glass brisk bright inviting citrus melon passion fruit aroma leading mouthwatering grapefruit zesty lime flavor hint minerality palate vibrant acidity crisp clean finish make wine versatile partner wide range foodsespecially succulent seafood mediterraneanstyle grilled vegetable salad served well chilled sauvignon blanc fun friendlythe perfect pour sunny afternoon picnic
Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!,5.0,positive,nice fruity sweet taking sparkling wine go great mimosa try see like even guy would enjoy wedding
A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!,5.0,positive,rich amber ale subtle noticeable hop character great beer pair food
"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",5.0,positive,light bodied ipa dry hopped cascade bold bright hp aroma balanced refreshing crisp ale great cookout day beach love
"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",5.0,positive,light bodied ipa dry hopped cascade bold bright hp aroma balanced refreshing crisp ale great cookout day beach love
Great for a perfect summer day or a get together with the girls.,5.0,positive,great perfect summer day get together girl
I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,2.0,negative,im sure bad bottle intentionally made effervescent dont want bubble drink pinot grigio go well mozzarella string cheese cinemasins
"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(",5.0,positive,obsessed new drinkhowever sold every target lately
"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.",5.0,positive,excellent red wine dry real sweet red blend great go anything anytime right price point known brand market
One of the best Cabernets I had in quite sometime......!!!!!!,5.0,positive,one best cabernet quite sometime
"This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.",5.0,positive,great buy price someone given bottle liked look much didnt want open idea nicely priced easily available finally opened bind needing white wine favorite holiday recipe hand nice smooth pinot nice flavor pleasurable palate especially love brand however bottle screw black top smaller neck cork closure beauty black cap designed reseal bottle without cork needing squeezed back ina really thoughtful design almost hate admit much impressed stopping target specifically buy house highly recommend
Gluten free plus lower on calories plus very refreshing!,5.0,positive,gluten free plus lower calorie plus refreshing
Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!,5.0,positive,best bunch wine cube skus target wine buyer please bring back
"I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.",3.0,positive,like wine like idea sealed cube week drinking glass two time resized box month ago made impossible open setup properly applaud target reducing packaging isnt working
"I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.",5.0,positive,tried share moscato astis smoothest ever tried sweet fizzy perfect got pretty bottle surprised taste try wont disappointed
"Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!",5.0,positive,highly highly recommend sweet syrupy right love bubbly dont mix wine seltzer anymore
My favorite bottle design. The best cheap lager.,5.0,positive,favorite bottle design best cheap lager
Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.,5.0,positive,delicious hate flavor one taste great find store
"This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!",5.0,positive,wine amazing im avid wine drinker mom life ill continue buy sure steal keep around please another reason love target
Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.,5.0,positive,love dry overly sweet also good balance alcohol
This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.,5.0,positive,wine sooooo good usually dont like cabernet special fermented wine tasty stay around longlol
Some of the best boxed wine I have ever tasted. Great taste and great value.,5.0,positive,best boxed wine ever tasted great taste great value
Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.,5.0,positive,love moscato purchasing next target run let chill fridge enjoy hot summer day
Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!,4.0,positive,sissy sistafriends dinnerplanning meetingand theyre still talking loving fellowship great wine hope store bottle left shelf
Great fruity dry rose!,5.0,positive,great fruity dry rose
"Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.",5.0,positive,greatest wine world course eminently drinkable wineas matter fact preferred go table wine wine personal thing pick category well balanced subtle easy sip dry without overpowering big bad cabernet good way go great paired cheese dish sauced something heavier like bernaise always bottle shelf
"Delicious white wine! Light, crisp, not too sweet. Almost too good.",5.0,positive,delicious white wine light crisp sweet almost good
Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.,1.0,negative,bad wine worst ever try bota box sarah looking decent boxed wine
"I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!",5.0,positive,wine expert mean love good red dinner cold night ticket rich dark fruity lovely hubby liked
Best wine I ever tasted,5.0,positive,best wine ever tasted
"not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality",5.0,positive,fruity satisfying go chardonnay excellent product would expect pay bottle quality
"Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!",5.0,positive,picked trip beach portable non breakable priced right didnt know expect honestly expectation high boxed wine pleasantly surprised drinkable delicious got home returned target get large wine cube box home enjoyment
"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",5.0,positive,far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy
"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",5.0,positive,far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy
"Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didn't want to risk drinking it because of risk of glass shards. I've bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking.",2.0,negative,taste absolutely fine chardonnay however bottle broke removing corkscrew second break far enough didnt want risk drinking risk glass shard ive bought cheaper wine like yellowtail etc never experienced bottle breaking
"I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.",4.0,positive,didnt find sweet everyones taste differs usually dont like sweet wine gravitate towards chardonnay sauvignon blanc felt like one buttery taste sweet citrusy taste like another reviewer stated price definitely keeper
My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!,5.0,positive,boyfriend brought home whim delighted tasty lasted u couple week even better
I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.,4.0,positive,love disaronno smooth texture flavor lightly sweet decadent rock little cream
I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...,5.0,positive,im surprised good price taste like sauvignon blanc
"Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle.",5.0,positive,nice light wine sure expect surprised well tasted bottle
"For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.",4.0,positive,much drink white wine needed find budget bottle wed dollar bottle beat pretty good wont impress anyone mondaythursday home budget drinking good
"I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.",5.0,positive,served different variety party guest loved since wine expert simply give note variety fancy pant website robust rich palate ripe berry red fruit toasty oak flavor cherry vanilla spice mouth lead long lingering finish
"I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.",5.0,positive,tried beringer make pink moscato trouble opening corkscrew one bought target instore really like sweet fruity flavor pink looking wine plan stock holiday
"If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!",5.0,positive,like fruit forward blend red smooth finish jammy taste love think year search favorite red wine ended
"This is a dry Rose, not sweet at all which is perfect for summer!",5.0,positive,dry rose sweet perfect summer
"A wonderful dry wine, and the taste is just divine!",5.0,positive,wonderful dry wine taste divine
"A wonderful dry wine, and the taste is just divine!",5.0,positive,wonderful dry wine taste divine
Been looking for Strongbow in the US for years,5.0,positive,looking strongbow u year
"Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.",5.0,positive,refreshing nice grapefruit flavor people dislike seltzer water good poured ice
"IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.",5.0,positive,sweetand like like taste sparkling water benefit alcohol
"Best Cabernet I've ever tasted, simple as that.",5.0,positive,best cabernet ive ever tasted simple
so refreshing! LOVEIT!,5.0,positive,refreshing loveit
"This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(",5.0,positive,cayman jack margarita really good found southern california target cant find northern california store
"I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.",4.0,positive,expected beer bitter side first time tried still enjoyed smooth taste id definitely buy get chance
"Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",5.0,positive,looked like linear regulator outside review ordered puppy put test definitely switcher fairly quiet well regulated like rm italy product great quality
"I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.",5.0,positive,love sparkling wine find brand sweet im aging longer want sweet stufd medium body wine strong bubble love bubble alcohol content offer nice buzz fairly quickly ecstatic found brand target carry
I served this at my baby shower and everyone went crazy over it. It's an inexpensive gem.,5.0,positive,served baby shower everyone went crazy inexpensive gem
This wine is full-bodied and delicious.,5.0,positive,wine fullbodied delicious
Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.,4.0,positive,super wine fruity taste regular wine drinker routine wine choice priced right good taste
Had a taste of either being old or spoiled. Stick with the bottle.,1.0,negative,taste either old spoiled stick bottle
This is our go-to wine for dinner parties. Better than most of the 10 bottles.,5.0,positive,goto wine dinner party better bottle
"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",5.0,positive,enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice
It goes great in apple cider,5.0,positive,go great apple cider
"Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.",5.0,positive,consistent flavor quality jb dr pepper surprisingly tasty highly recommend love commercial mila proud keep good work
A true classic of spirits...,5.0,positive,true classic spirit
"I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!",5.0,positive,love bourbon always first choice time unwind whether neat rock coke ginger ale grandpa whiskey sour nothing top jim beam nothing
The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,5.0,positive,white label devil cut dashed lemonade lime cordial enjoy jim
Best Drink you can get,5.0,positive,best drink get
to make manhattens,4.0,positive,make manhattens
Best bourbon I have found...have toured distillery and love the brand..,5.0,positive,best bourbon foundhave toured distillery love brand
Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,5.0,positive,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick
I like it with dr.peper to sip and relax,5.0,positive,like drpeper sip relax
Better than the other's,5.0,positive,better others
Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,5.0,positive,drank year always smooth tasty running shelf liquor store
I keep Jim Beam on hand every day of the week.,5.0,positive,keep jim beam hand every day week
"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",5.0,positive,typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt
It's does have a great toaste to it the only drink I'll drink.,5.0,positive,great toaste drink ill drink
I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,5.0,positive,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack
Best tasteing and defenetly the smoothest around I love it!,5.0,positive,best tasteing defenetly smoothest around love
I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,5.0,positive,always keep bottle jim bean liquor cabinet value price incredible mix great
This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again,5.0,positive,favorite mixed drink whiskey sam best price handle well buying
Best whiskey around and a price that can't be beat!!,5.0,positive,best whiskey around price cant beat
to make manhattens,4.0,positive,make manhattens
Best bourbon I have found...have toured distillery and love the brand..,5.0,positive,best bourbon foundhave toured distillery love brand
"I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!",5.0,positive,drink yellow tail buy perfect wine price one love
I always buy this item at Walmart cause they always have it at a Great Price,5.0,positive,always buy item walmart cause always great price
"As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!",5.0,positive,scotch drinker tasting basil haydens first time changed opinion bourbon enjoy scotch bourbon bh top list bourbon
Very tasty bourbon!,5.0,positive,tasty bourbon
Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.,5.0,positive,basil hayden gateway world burbon ever since held flavor profile gold standard trying others market bit always find coming back first love
Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.,5.0,positive,outstanding simply outstanding beverage spicy light comforting finish staple home bar rotation never let bottle get near empty without backfilling fresh one
I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.,5.0,positive,love cook champagne however drink brut would love extra dry become available sam mobile al
"My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.",5.0,positive,favorite red wine menage trois long time silk blend even better regular blend price remained affordable quality remained consistently good red blend
My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.,5.0,positive,mother turned barefoot riesling year back reflex always choose given option
